제목,저자,출간일,쪽수,가격,역자
재미있고 빠른 알파벳 쓰기,한빛학습연구회,2021-07-26,88 쪽,"7,500원",-
비즈니스 애널리틱스,"Sanjiv Jaggia , Alison Kelly , Kevin Lertwachara , Leida Chen",2021-07-20,704 쪽,"38,000원","장혜정 , 이상규 , 오세환 , 변종복"
이기적이라 살아남았습니다,이마이즈미 다다아키,2021-07-20,176 쪽,"13,800원","김지연 , 이정모(감수)"
스벨트 앤 새퍼 인 액션,마크 볼크먼,2021-07-19,580 쪽,"38,000원",박수현
"STEM CookBook, 문제 해결력을 키우는 정역학",오충석,2021-07-16,460 쪽,"30,000원",-
최신 관리회계,"정재권 , 서한결 , 곽종민",2021-07-10,460 쪽,"28,000원",-
리눅스 입문자를 위한 명령어 사전,"가와구치 히로시 , 다야 후미히코 , 미사와 아키라",2021-07-07,456 쪽,"32,000원",서수환
파타고니아 이야기,이본 쉬나드,2021-07-07,584 쪽,"55,000원",추선영
"풀스택 서버리스 :  리액트, AWS, 그래프QL을 이용한 최신 애플리케이션 개발",네이더 다빗,2021-07-05,216 쪽,"21,000원",김범준
한 권으로 배우는 작고 예쁜 꽃자수,장미나(미나랜드),2021-07-05,240 쪽,"18,000원",-
"IT CookBook, 처음 만나는 회로이론(2판)",방성완,2021-07-02,400 쪽,"23,000원",-
안전필수 시스템 제어 설계,"김국헌 , 김태효 , 이성섭",2021-07-02,488 쪽,"38,000원",-
데이터 스토리,낸시 두아르테,2021-07-01,240 쪽,"22,000원","권혜정 , 윤영진(감수)"
